Date,Close,Adj Close,High,Low,Open,Volume,Ticker
2000-08-11,28.875,28.875,29.25,27.0,27.625,14878200,AMD
2000-08-14,31.5,31.5,31.625,28.625,29.5625,12196200,AMD
2000-08-15,32.0,32.0,32.375,31.0,31.625,12354000,AMD
2000-08-16,32.625,32.625,33.125,31.0625,32.3125,11556000,AMD
2000-08-17,34.0625,34.0625,34.125,31.375,31.625,13113800,AMD
2000-08-18,35.125,35.125,35.5,34.5,35.21875,13328000,AMD
2000-08-21,34.09375,34.09375,35.875,33.25,35.375,11183800,AMD
2000-08-22,34.4375,34.4375,35.125,33.125,34.125,5475900,AMD
2000-08-23,34.75,34.75,35.0,33.375,34.625,4834100,AMD
2000-08-24,34.9375,34.9375,36.0,34.125,35.125,7984200,AMD
2000-08-25,34.5,34.5,35.125,33.6875,35.0,3829400,AMD
2000-08-28,34.5,34.5,35.25,33.8125,34.625,4558900,AMD
2000-08-29,34.75,34.75,35.75,34.0,34.5625,5512500,AMD
2000-08-30,35.0,35.0,35.375,34.0625,34.5,3804000,AMD
2000-08-31,37.5,37.5,38.25,35.0625,35.25,8755600,AMD
2000-09-01,37.5,37.5,38.25,36.625,38.125,5270600,AMD
2000-09-05,34.75,34.75,37.0,34.25,37.0,9198100,AMD
2000-09-06,32.0,32.0,34.5,32.0,34.5,9135200,AMD
2000-09-07,33.0,33.0,33.875,31.5,32.5,8354600,AMD
2000-09-08,31.875,31.875,33.0,31.5625,33.0,5504000,AMD
2000-09-11,32.25,32.25,33.0625,31.0,31.5625,4414200,AMD
2000-09-12,30.5,30.5,32.4375,30.125,31.0625,5455600,AMD
2000-09-13,29.0,29.0,29.5,28.0625,28.5,13190900,AMD
2000-09-14,28.375,28.375,30.0,27.75,29.0625,8138000,AMD
2000-09-15,27.75,27.75,28.5,27.125,28.0,7637200,AMD
2000-09-18,26.5,26.5,30.0,26.0,27.5,6981900,AMD
2000-09-19,30.375,30.375,30.5,26.25,26.25,10605700,AMD
