Date,Close,Adj Close,High,Low,Open,Volume,Ticker
2000-08-11,8.3125,8.3125,8.59375,8.21875,8.40625,7580000,BSX
2000-08-14,8.21875,8.21875,8.40625,8.1875,8.3125,2896800,BSX
2000-08-15,8.0625,8.0625,8.25,7.96875,8.25,3237000,BSX
2000-08-16,8.125,8.125,8.1875,7.75,7.9375,6857200,BSX
2000-08-17,8.1875,8.1875,8.375,8.03125,8.15625,3514600,BSX
2000-08-18,8.1875,8.1875,8.375,8.1875,8.375,4649400,BSX
2000-08-21,8.90625,8.90625,9.0,8.0,8.40625,12321000,BSX
2000-08-22,8.59375,8.59375,8.875,8.5,8.84375,4154200,BSX
2000-08-23,8.90625,8.90625,9.09375,8.65625,8.9375,4233200,BSX
2000-08-24,8.84375,8.84375,9.09375,8.8125,9.03125,3017400,BSX
2000-08-25,8.875,8.875,8.9375,8.71875,8.84375,3547600,BSX
2000-08-28,9.09375,9.09375,9.3125,8.875,8.875,3755000,BSX
2000-08-29,9.0,9.0,9.375,9.0,9.21875,3625200,BSX
2000-08-30,9.40625,9.40625,9.65625,9.15625,9.25,6941000,BSX
2000-08-31,9.476563453674316,9.476563453674316,9.9375,9.4375,9.46875,4476200,BSX
2000-09-01,9.28125,9.28125,9.5625,9.1875,9.5,1454600,BSX
2000-09-05,9.3125,9.3125,9.4375,8.9375,9.28125,3381000,BSX
2000-09-06,9.28125,9.28125,9.375,8.9375,9.25,1280600,BSX
2000-09-07,9.15625,9.15625,9.40625,9.15625,9.15625,1010400,BSX
2000-09-08,9.34375,9.34375,9.375,9.125,9.125,1956200,BSX
2000-09-11,9.53125,9.53125,9.59375,9.3125,9.53125,3517800,BSX
2000-09-12,9.5,9.5,9.6875,9.375,9.6875,2467800,BSX
2000-09-13,9.375,9.375,9.5,9.3125,9.5,1867600,BSX
2000-09-14,9.21875,9.21875,9.3125,9.15625,9.1875,2807800,BSX
2000-09-15,9.53125,9.53125,9.5625,9.125,9.125,4199800,BSX
2000-09-18,9.5625,9.5625,9.6875,9.4375,9.53125,1859400,BSX
2000-09-19,9.375,9.375,9.625,9.0625,9.0625,2069600,BSX
2000-09-20,9.125,9.125,9.25,9.03125,9.25,1550800,BSX
2000-09-21,9.28125,9.28125,9.28125,8.9375,9.03125,1104400,BSX
2000-09-22,9.0,9.0,9.5,9.0,9.3125,2707800,BSX
2000-09-25,9.0,9.0,9.03125,8.875,9.03125,3281200,BSX
2000-09-26,8.5,8.5,8.96875,8.125,8.875,3314200,BSX
2000-09-27,8.1875,8.1875,8.53125,8.03125,8.3125,3880600,BSX
2000-09-28,8.40625,8.40625,9.46875,8.28125,8.375,3868600,BSX
2000-09-29,8.21875,8.21875,8.375,8.15625,8.3125,4380000,BSX
2000-10-02,8.0,8.0,8.34375,7.9375,8.3125,3445600,BSX
2000-10-03,8.1875,8.1875,8.3125,7.8125,8.25,3490400,BSX
2000-10-04,7.78125,7.78125,7.9375,7.59375,7.59375,4240600,BSX
2000-10-05,7.90625,7.90625,8.3125,7.84375,7.9375,3074000,BSX
2000-10-06,7.625,7.625,8.25,7.40625,8.25,5786000,BSX
2000-10-09,7.53125,7.53125,7.78125,7.5,7.625,1127800,BSX
2000-10-10,7.46875,7.46875,7.6875,7.34375,7.46875,3117200,BSX
2000-10-11,7.5,7.5,7.65625,7.28125,7.5,4805400,BSX
2000-10-12,7.25,7.25,7.5625,7.1875,7.4375,1948800,BSX
2000-10-13,7.4375,7.4375,7.65625,7.25,7.34375,4924800,BSX
2000-10-16,7.84375,7.84375,7.9375,7.4375,7.4375,6350600,BSX
2000-10-17,7.75,7.75,7.84375,7.5625,7.78125,3216800,BSX
2000-10-18,8.03125,8.03125,8.1875,7.375,7.6875,7075800,BSX
2000-10-19,7.875,7.875,7.9375,7.75,7.90625,3257400,BSX
2000-10-20,7.90625,7.90625,8.0,7.78125,7.875,1626400,BSX
2000-10-23,8.0,8.0,8.1875,7.75,7.875,1503600,BSX
2000-10-24,7.96875,7.96875,8.3125,7.90625,8.09375,2153200,BSX
2000-10-25,7.96875,7.96875,8.21875,7.84375,7.9375,3334200,BSX
2000-10-26,8.03125,8.03125,8.25,7.75,7.90625,2846600,BSX
2000-10-27,8.03125,8.03125,8.09375,7.9375,7.96875,1939000,BSX
2000-10-30,8.125,8.125,8.21875,7.9375,8.03125,2542000,BSX
2000-10-31,7.96875,7.96875,8.09375,7.875,8.0625,3499600,BSX
2000-11-01,7.78125,7.78125,8.03125,7.75,7.9375,4631200,BSX
2000-11-02,8.0625,8.0625,8.21875,7.78125,7.84375,4287800,BSX
2000-11-03,8.25,8.25,8.4375,7.9375,8.0625,4477800,BSX
2000-11-06,8.03125,8.03125,8.1875,7.8125,7.875,3737200,BSX
2000-11-07,8.03125,8.03125,8.21875,8.0,8.09375,2041800,BSX
2000-11-08,7.875,7.875,8.1875,7.875,8.0,1990000,BSX
2000-11-09,7.6875,7.6875,7.96875,7.625,7.875,2287000,BSX
2000-11-10,7.46875,7.46875,7.75,7.40625,7.5625,4235400,BSX
2000-11-13,7.4375,7.4375,7.59375,7.28125,7.46875,1527400,BSX
2000-11-14,7.5,7.5,7.625,7.34375,7.375,2261400,BSX
2000-11-15,7.28125,7.28125,7.4375,7.03125,7.375,3789800,BSX
2000-11-16,7.46875,7.46875,7.5625,7.34375,7.46875,3043600,BSX
2000-11-17,7.5,7.5,7.65625,7.46875,7.5,4442200,BSX
2000-11-20,7.59375,7.59375,7.65625,7.40625,7.625,3581200,BSX
2000-11-21,7.1875,7.1875,7.9375,7.15625,7.90625,8038400,BSX
2000-11-22,7.09375,7.09375,7.3125,7.0,7.0,5036200,BSX
2000-11-24,7.3125,7.3125,7.34375,7.1875,7.25,991400,BSX
2000-11-27,7.0,7.0,7.5,7.0,7.375,5517600,BSX
2000-11-28,6.8125,6.8125,7.15625,6.8125,7.15625,6620400,BSX
2000-11-29,6.5625,6.5625,6.84375,6.28125,6.84375,11101600,BSX
2000-11-30,6.4375,6.4375,6.5,6.40625,6.46875,4999200,BSX
2000-12-01,6.53125,6.53125,6.75,6.46875,6.46875,4313400,BSX
2000-12-04,6.5,6.5,6.59375,6.375,6.375,2406400,BSX
2000-12-05,6.5,6.5,6.65625,6.40625,6.59375,4339200,BSX
2000-12-06,6.125,6.125,6.46875,6.09375,6.4375,3675000,BSX
2000-12-07,6.375,6.375,6.5625,6.125,6.15625,5814200,BSX
2000-12-08,6.40625,6.40625,6.53125,6.375,6.4375,5147000,BSX
2000-12-11,6.53125,6.53125,6.875,6.21875,6.46875,10905000,BSX
2000-12-12,6.71875,6.71875,6.875,6.5,6.875,5957200,BSX
2000-12-13,6.5,6.5,6.75,6.46875,6.625,4075800,BSX
2000-12-14,6.59375,6.59375,6.71875,6.4375,6.5,4782000,BSX
2000-12-15,6.53125,6.53125,6.8125,6.53125,6.53125,6637200,BSX
2000-12-18,6.71875,6.71875,6.90625,6.4375,6.59375,7207000,BSX
2000-12-19,6.65625,6.65625,6.84375,6.625,6.625,4307600,BSX
2000-12-20,6.71875,6.71875,6.8125,6.5,6.59375,4633800,BSX
2000-12-21,6.65625,6.65625,6.6875,6.53125,6.65625,2652800,BSX
2000-12-22,6.46875,6.46875,6.78125,6.40625,6.75,4848200,BSX
2000-12-26,6.59375,6.59375,6.59375,6.375,6.46875,5003600,BSX
2000-12-27,6.53125,6.53125,6.71875,6.46875,6.46875,5288400,BSX
2000-12-28,6.78125,6.78125,6.9375,6.40625,6.4375,7771400,BSX
2000-12-29,6.84375,6.84375,6.9375,6.59375,6.78125,7503400,BSX
2001-01-02,6.75,6.75,6.875,6.625,6.75,4629400,BSX
2001-01-03,6.75,6.75,6.84375,6.65625,6.78125,3948800,BSX
2001-01-04,7.5,7.5,7.5,6.65625,6.71875,13234000,BSX
2001-01-05,7.78125,7.78125,7.8125,7.03125,7.3125,9583000,BSX
2001-01-08,7.75,7.75,7.96875,7.53125,7.625,4270400,BSX
2001-01-09,7.875,7.875,8.21875,7.75,7.75,3450200,BSX
2001-01-10,7.46875,7.46875,7.96875,7.4375,7.84375,4247400,BSX
2001-01-11,7.4375,7.4375,7.71875,7.375,7.46875,3775000,BSX
2001-01-12,7.5,7.5,7.6875,7.46875,7.5,3637200,BSX
2001-01-16,7.5,7.5,7.5625,7.4375,7.5,3735800,BSX
2001-01-17,7.84375,7.84375,7.96875,7.53125,7.5625,4353200,BSX
2001-01-18,7.75,7.75,7.875,7.6875,7.78125,1874200,BSX
2001-01-19,7.25,7.25,7.78125,7.125,7.71875,5244800,BSX
2001-01-22,7.78125,7.78125,7.8125,7.4375,7.71875,3815400,BSX
2001-01-23,8.03125,8.03125,8.09375,7.65625,7.65625,3340200,BSX
2001-01-24,8.0,8.0,8.3125,8.0,8.0,6094800,BSX
