Date,Close,Adj Close,High,Low,Open,Volume,Ticker
2000-08-11,13.5,13.5,13.75,13.375,13.4375,131500,IT
2000-08-14,14.125,14.125,14.1875,13.375,13.375,97300,IT
2000-08-15,13.6875,13.6875,14.0625,13.625,14.0,63700,IT
2000-08-16,12.875,12.875,13.75,12.875,13.75,157200,IT
2000-08-17,14.0,14.0,14.1875,12.9375,12.9375,126800,IT
2000-08-18,14.0,14.0,14.125,13.75,14.0,122100,IT
2000-08-21,13.8125,13.8125,13.9375,13.625,13.875,97100,IT
2000-08-22,13.25,13.25,13.4375,13.1875,13.3125,154800,IT
2000-08-23,12.9375,12.9375,13.375,12.875,13.375,49300,IT
2000-08-24,13.0,13.0,13.09375,12.8125,12.8125,93300,IT
2000-08-25,13.0625,13.0625,13.3125,12.9375,13.25,63100,IT
2000-08-28,12.5625,12.5625,13.125,12.25,13.0625,124500,IT
2000-08-29,12.9375,12.9375,13.0625,12.6875,12.6875,129600,IT
2000-08-30,12.6875,12.6875,13.0,12.625,12.875,118500,IT
2000-08-31,13.375,13.375,13.5625,12.6875,12.75,217300,IT
2000-09-01,13.3125,13.3125,13.5625,13.125,13.125,151200,IT
2000-09-05,13.625,13.625,13.875,13.3125,13.625,142500,IT
2000-09-06,13.3125,13.3125,13.625,13.1875,13.625,38600,IT
2000-09-07,13.25,13.25,13.4375,13.0,13.1875,184400,IT
2000-09-08,13.1875,13.1875,13.375,13.125,13.375,108500,IT
2000-09-11,13.5625,13.5625,13.71875,13.1875,13.1875,115600,IT
2000-09-12,13.125,13.125,13.625,13.125,13.5,85800,IT
2000-09-13,13.3125,13.3125,13.625,13.1875,13.25,76600,IT
2000-09-14,14.0,14.0,14.0,13.1875,13.1875,131000,IT
2000-09-15,13.875,13.875,14.75,13.625,13.625,304700,IT
2000-09-18,14.0,14.0,14.0625,13.75,13.875,64300,IT
2000-09-19,13.6875,13.6875,13.6875,13.3125,13.625,108200,IT
2000-09-20,12.75,12.75,13.6875,12.3125,13.5625,214100,IT
2000-09-21,12.6875,12.6875,13.25,12.6875,12.6875,113900,IT
2000-09-22,12.8125,12.8125,12.9375,12.625,12.75,95700,IT
2000-09-25,13.0625,13.0625,13.125,12.375,12.375,82800,IT
2000-09-26,12.5625,12.5625,13.0625,12.4375,13.0625,155400,IT
2000-09-27,12.6875,12.6875,12.6875,12.4375,12.4375,95100,IT
2000-09-28,12.0625,12.0625,12.5625,11.875,12.5625,915000,IT
2000-09-29,11.625,11.625,12.25,11.625,12.25,700900,IT
2000-10-02,11.9375,11.9375,12.0625,11.75,11.75,335900,IT
2000-10-03,12.3125,12.3125,12.375,11.9375,11.9375,496200,IT
2000-10-04,12.0625,12.0625,12.1875,11.875,12.1875,346100,IT
2000-10-05,12.0,12.0,12.125,12.0,12.0625,158500,IT
2000-10-06,11.4375,11.4375,12.0,11.1875,12.0,196900,IT
2000-10-09,11.5,11.5,11.5,11.1875,11.5,73900,IT
2000-10-10,10.9375,10.9375,11.4375,10.875,11.375,298100,IT
2000-10-11,10.9375,10.9375,10.9375,10.3125,10.8125,233100,IT
2000-10-12,10.875,10.875,11.1875,10.75,10.9375,150000,IT
2000-10-13,11.375,11.375,11.375,10.75,10.75,155400,IT
2000-10-16,11.25,11.25,11.4375,11.0,11.3125,64700,IT
2000-10-17,10.5,10.5,11.1875,10.4375,11.125,305100,IT
2000-10-18,10.1875,10.1875,10.1875,10.0,10.0,153500,IT
2000-10-19,10.25,10.25,10.5,10.125,10.1875,230400,IT
2000-10-20,10.1875,10.1875,10.375,10.125,10.1875,97300,IT
2000-10-23,9.9375,9.9375,10.1875,9.4375,10.1875,301100,IT
2000-10-24,9.0,9.0,10.0,8.9375,9.9375,607100,IT
2000-10-25,8.5625,8.5625,9.0,8.5,9.0,349800,IT
2000-10-26,8.8125,8.8125,8.8125,7.625,8.5625,946800,IT
2000-10-27,9.8125,9.8125,10.1875,8.625,8.625,368000,IT
2000-10-30,10.0625,10.0625,10.125,9.5625,9.8125,248700,IT
2000-10-31,9.5,9.5,10.0625,9.3125,10.0,353100,IT
2000-11-01,9.9375,9.9375,10.0,9.5,9.5,100100,IT
2000-11-02,10.625,10.625,10.6875,9.9375,10.0,91800,IT
2000-11-03,10.4375,10.4375,10.9375,10.4375,10.625,188900,IT
2000-11-06,10.6875,10.6875,11.0,10.625,10.75,202700,IT
2000-11-07,10.875,10.875,10.875,10.625,10.625,76500,IT
2000-11-08,10.75,10.75,11.0625,10.75,10.8125,96100,IT
2000-11-09,10.5,10.5,10.875,10.125,10.875,69500,IT
2000-11-10,10.125,10.125,10.375,10.0625,10.375,68600,IT
2000-11-13,9.875,9.875,10.0,9.625,10.0,207100,IT
2000-11-14,10.0,10.0,10.0,9.875,9.875,126300,IT
2000-11-15,9.9375,9.9375,10.25,9.9375,10.0,429600,IT
2000-11-16,10.125,10.125,10.25,9.8125,9.8125,184700,IT
2000-11-17,9.875,9.875,10.375,9.875,10.375,53300,IT
2000-11-20,9.75,9.75,9.8125,9.5,9.625,116700,IT
2000-11-21,9.75,9.75,9.875,9.625,9.625,103400,IT
2000-11-22,9.3125,9.3125,9.5,9.1875,9.375,180900,IT
2000-11-24,9.3125,9.3125,9.375,9.25,9.375,52700,IT
2000-11-27,9.625,9.625,9.6875,9.125,9.3125,168100,IT
2000-11-28,9.25,9.25,9.5625,9.125,9.5,104200,IT
2000-11-29,8.875,8.875,9.25,8.5,9.25,80400,IT
2000-11-30,8.5,8.5,9.0,8.375,8.9375,146700,IT
2000-12-01,8.6875,8.6875,8.8125,8.5,8.5625,80000,IT
2000-12-04,8.484375,8.484375,8.671875,8.34375,8.59375,114900,IT
2000-12-05,8.59375,8.59375,8.59375,8.375,8.59375,152200,IT
2000-12-06,7.953125,7.953125,8.546875,7.703125,8.546875,180300,IT
2000-12-07,7.5,7.5,7.75,7.15625,7.75,321700,IT
2000-12-08,8.5,8.5,8.5,7.40625,7.40625,713900,IT
2000-12-11,7.953125,7.953125,8.34375,7.9375,8.25,211400,IT
2000-12-12,7.59375,7.59375,7.9375,7.5,7.84375,278800,IT
2000-12-13,7.15625,7.15625,7.484375,7.125,7.34375,191300,IT
2000-12-14,6.90625,6.90625,7.203125,6.796875,7.15625,349200,IT
2000-12-15,7.0,7.0,7.078125,6.90625,6.984375,431700,IT
2000-12-18,6.75,6.75,7.0,6.75,6.90625,363400,IT
2000-12-19,6.75,6.75,6.8125,6.59375,6.765625,137900,IT
2000-12-20,6.515625,6.515625,6.65625,6.5,6.65625,169300,IT
2000-12-21,6.515625,6.515625,6.546875,6.203125,6.515625,653300,IT
2000-12-22,6.5,6.5,6.515625,6.203125,6.421875,237400,IT
2000-12-26,5.96875,5.96875,6.5,5.65625,6.5,526100,IT
2000-12-27,6.65625,6.65625,6.65625,5.984375,6.0,1481400,IT
2000-12-28,6.734375,6.734375,6.796875,6.40625,6.40625,296700,IT
2000-12-29,6.90625,6.90625,7.25,6.515625,6.734375,364300,IT
2001-01-02,6.65625,6.65625,7.125,6.40625,7.0,165000,IT
2001-01-03,7.484375,7.484375,7.484375,6.703125,6.703125,159000,IT
2001-01-04,7.421875,7.421875,7.546875,7.375,7.390625,341800,IT
2001-01-05,7.484375,7.484375,7.546875,7.296875,7.484375,355400,IT
2001-01-08,7.15625,7.15625,7.484375,7.125,7.40625,88400,IT
2001-01-09,7.296875,7.296875,7.46875,7.265625,7.40625,94400,IT
2001-01-10,7.484375,7.484375,7.703125,7.25,7.25,488700,IT
2001-01-11,7.546875,7.546875,7.625,7.5,7.5,360400,IT
2001-01-12,7.84375,7.84375,7.890625,7.546875,7.546875,1329600,IT
2001-01-16,8.046875,8.046875,8.046875,7.875,7.953125,633400,IT
2001-01-17,7.953125,7.953125,8.0,7.59375,7.953125,705000,IT
2001-01-18,7.984375,7.984375,8.046875,7.859375,7.953125,153900,IT
2001-01-19,7.96875,7.96875,8.0,7.5,7.984375,588300,IT
2001-01-22,7.953125,7.953125,7.984375,7.84375,7.90625,135700,IT
2001-01-23,8.40625,8.40625,8.40625,7.953125,7.953125,414300,IT
2001-01-24,8.234375,8.234375,8.40625,8.125,8.40625,137500,IT
2001-01-25,7.90625,7.90625,8.234375,7.84375,8.234375,284400,IT
2001-01-26,8.0,8.0,8.15625,7.90625,7.953125,106300,IT
2001-01-29,8.369999885559082,8.369999885559082,8.600000381469727,8.020000457763672,8.100000381469727,97000,IT
2001-01-30,8.430000305175781,8.430000305175781,8.449999809265137,8.170000076293945,8.300000190734863,106400,IT
2001-01-31,8.100000381469727,8.100000381469727,8.539999961853027,8.100000381469727,8.489999771118164,145700,IT
2001-02-01,8.350000381469727,8.350000381469727,8.449999809265137,8.109999656677246,8.199999809265137,107200,IT
2001-02-02,7.989999771118164,7.989999771118164,8.300000190734863,7.900000095367432,8.300000190734863,287500,IT
2001-02-05,7.849999904632568,7.849999904632568,8.0,7.690000057220459,8.0,170600,IT
2001-02-06,7.960000038146973,7.960000038146973,8.100000381469727,7.75,7.75,327800,IT
2001-02-07,8.489999771118164,8.489999771118164,8.489999771118164,7.949999809265137,8.0,202300,IT
2001-02-08,8.180000305175781,8.180000305175781,8.449999809265137,8.100000381469727,8.399999618530273,89200,IT
2001-02-09,8.180000305175781,8.180000305175781,8.329999923706055,8.149999618530273,8.239999771118164,176200,IT
2001-02-12,8.350000381469727,8.350000381469727,8.449999809265137,8.180000305175781,8.449999809265137,141100,IT
2001-02-13,8.050000190734863,8.050000190734863,8.350000381469727,8.029999732971191,8.350000381469727,117100,IT
2001-02-14,8.199999809265137,8.199999809265137,8.199999809265137,8.0,8.039999961853027,118800,IT
2001-02-15,8.210000038146973,8.210000038146973,8.390000343322754,8.100000381469727,8.300000190734863,80300,IT
2001-02-16,7.949999809265137,7.949999809265137,8.210000038146973,7.949999809265137,8.210000038146973,106300,IT
2001-02-20,7.71999979019165,7.71999979019165,7.900000095367432,7.619999885559082,7.900000095367432,125600,IT
2001-02-21,8.300000190734863,8.300000190734863,8.350000381469727,7.599999904632568,7.71999979019165,172900,IT
2001-02-22,8.369999885559082,8.369999885559082,8.5,8.25,8.300000190734863,246500,IT
2001-02-23,8.789999961853027,8.789999961853027,8.800000190734863,8.1899995803833,8.369999885559082,177200,IT
2001-02-26,9.149999618530273,9.149999618530273,9.149999618530273,8.550000190734863,8.819999694824219,148200,IT
2001-02-27,8.949999809265137,8.949999809265137,9.15999984741211,8.930000305175781,9.149999618530273,171800,IT
2001-02-28,8.5,8.5,9.0,8.5,8.949999809265137,281000,IT
2001-03-01,8.0,8.0,8.449999809265137,7.949999809265137,8.399999618530273,295300,IT
2001-03-02,7.940000057220459,7.940000057220459,8.199999809265137,7.849999904632568,7.949999809265137,268800,IT
2001-03-05,7.869999885559082,7.869999885559082,8.0,7.849999904632568,8.0,75800,IT
2001-03-06,7.96999979019165,7.96999979019165,7.980000019073486,7.860000133514404,7.880000114440918,108100,IT
2001-03-07,7.909999847412109,7.909999847412109,8.0,7.849999904632568,7.929999828338623,191900,IT
2001-03-08,7.760000228881836,7.760000228881836,8.170000076293945,7.75,8.0,288500,IT
2001-03-09,7.5,7.5,7.800000190734863,7.449999809265137,7.75,245300,IT
2001-03-12,7.0,7.0,7.5,7.0,7.5,119800,IT
2001-03-13,7.099999904632568,7.099999904632568,7.239999771118164,6.809999942779541,6.900000095367432,250500,IT
2001-03-14,6.849999904632568,6.849999904632568,7.199999809265137,6.800000190734863,7.199999809265137,160800,IT
2001-03-15,6.900000095367432,6.900000095367432,7.199999809265137,6.699999809265137,7.199999809265137,1495000,IT
2001-03-16,6.5,6.5,7.0,6.5,7.0,1135400,IT
2001-03-19,6.619999885559082,6.619999885559082,6.75,6.400000095367432,6.75,195500,IT
2001-03-20,6.559999942779541,6.559999942779541,6.78000020980835,6.519999980926514,6.699999809265137,110300,IT
2001-03-21,6.599999904632568,6.599999904632568,6.75,6.5,6.75,133800,IT
2001-03-22,6.650000095367432,6.650000095367432,6.789999961853027,6.599999904632568,6.599999904632568,128000,IT
2001-03-23,7.070000171661377,7.070000171661377,7.190000057220459,6.699999809265137,6.699999809265137,198800,IT
