Date,Close,Adj Close,High,Low,Open,Volume,Ticker
2000-08-11,26.875,26.875,26.9375,26.1875,26.25,158500,MHK
2000-08-14,26.875,26.875,26.9375,26.6875,26.8125,115500,MHK
2000-08-15,26.625,26.625,27.0,26.375,26.9375,78200,MHK
2000-08-16,26.5625,26.5625,26.6875,26.25,26.5625,56200,MHK
2000-08-17,26.0,26.0,26.6875,25.875,26.3125,64000,MHK
2000-08-18,25.8125,25.8125,26.0,25.25,25.9375,72200,MHK
2000-08-21,25.8125,25.8125,26.125,25.75,25.75,73600,MHK
2000-08-22,26.3125,26.3125,26.375,25.875,25.875,96300,MHK
2000-08-23,25.3125,25.3125,26.1875,25.3125,26.1875,69100,MHK
2000-08-24,25.4375,25.4375,25.5625,25.375,25.4375,133900,MHK
2000-08-25,24.9375,24.9375,25.5,24.875,25.4375,136800,MHK
2000-08-28,24.0,24.0,24.9375,24.0,24.875,81400,MHK
2000-08-29,24.5,24.5,24.875,24.0625,24.1875,92700,MHK
2000-08-30,23.875,23.875,24.6875,23.875,24.6875,47600,MHK
2000-08-31,23.75,23.75,24.25,23.75,23.875,105500,MHK
2000-09-01,24.25,24.25,24.4375,23.8125,23.875,142700,MHK
2000-09-05,23.4375,23.4375,24.25,23.3125,24.25,134100,MHK
2000-09-06,26.5,26.5,27.5625,23.3125,23.5,840000,MHK
2000-09-07,27.0625,27.0625,27.1875,26.5,26.5,259300,MHK
2000-09-08,25.875,25.875,26.5,24.4375,26.5,1355700,MHK
2000-09-11,25.4375,25.4375,25.8125,25.0625,25.75,168300,MHK
2000-09-12,25.6875,25.6875,25.6875,25.25,25.625,169300,MHK
2000-09-13,24.5625,24.5625,25.6875,24.5625,25.6875,403200,MHK
2000-09-14,23.9375,23.9375,24.6875,23.875,24.625,556100,MHK
2000-09-15,23.3125,23.3125,23.5625,23.0,23.3125,317100,MHK
2000-09-18,22.375,22.375,23.3125,22.125,23.3125,385000,MHK
2000-09-19,22.125,22.125,22.625,22.125,22.375,565100,MHK
2000-09-20,21.625,21.625,22.25,21.625,22.25,318200,MHK
2000-09-21,21.25,21.25,21.6875,21.25,21.5,202600,MHK
2000-09-22,22.0,22.0,22.125,21.125,21.25,130900,MHK
2000-09-25,22.4375,22.4375,22.75,21.875,22.0,1548400,MHK
2000-09-26,22.0,22.0,22.375,21.71875,22.375,135900,MHK
2000-09-27,21.875,21.875,22.1875,21.6875,21.875,109700,MHK
2000-09-28,22.75,22.75,22.75,21.6875,21.875,144400,MHK
2000-09-29,21.8125,21.8125,22.75,21.8125,22.6875,145200,MHK
2000-10-02,21.5,21.5,21.875,21.3125,21.875,411800,MHK
2000-10-03,21.3125,21.3125,21.5,21.25,21.5,160100,MHK
2000-10-04,21.5,21.5,21.5625,21.375,21.4375,438800,MHK
2000-10-05,22.0625,22.0625,22.125,21.5625,21.5625,147100,MHK
2000-10-06,22.125,22.125,22.25,22.0,22.0625,112900,MHK
2000-10-09,21.6875,21.6875,22.375,21.625,22.1875,54000,MHK
2000-10-10,21.1875,21.1875,21.5625,21.0625,21.5,286300,MHK
2000-10-11,19.75,19.75,21.0625,19.25,21.0625,440400,MHK
2000-10-12,19.3125,19.3125,20.125,19.125,20.0,175700,MHK
2000-10-13,19.5,19.5,20.125,19.1875,19.25,867300,MHK
2000-10-16,19.75,19.75,20.0,19.5,19.5,301800,MHK
2000-10-17,19.1875,19.1875,19.875,19.125,19.875,301700,MHK
2000-10-18,19.3125,19.3125,19.5,19.0625,19.0625,560500,MHK
2000-10-19,20.125,20.125,20.1875,19.375,19.375,610000,MHK
2000-10-20,20.125,20.125,20.5,20.125,20.125,77900,MHK
2000-10-23,19.5625,19.5625,20.0,19.25,19.9375,139000,MHK
2000-10-24,19.5625,19.5625,19.625,19.5,19.625,254100,MHK
2000-10-25,19.4375,19.4375,19.625,19.375,19.625,653500,MHK
2000-10-26,20.25,20.25,20.25,19.5,19.5,831100,MHK
2000-10-27,20.1875,20.1875,20.25,19.75,20.1875,66400,MHK
2000-10-30,21.1875,21.1875,21.3125,20.25,20.25,168500,MHK
2000-10-31,21.8125,21.8125,22.0,21.0625,21.1875,97900,MHK
2000-11-01,21.5625,21.5625,22.1875,21.5,22.1875,72600,MHK
2000-11-02,21.625,21.625,22.1875,21.625,21.8125,80900,MHK
2000-11-03,21.6875,21.6875,21.875,21.5625,21.6875,47100,MHK
2000-11-06,21.75,21.75,22.4375,21.6875,21.8125,115000,MHK
2000-11-07,21.375,21.375,21.6875,21.0,21.625,96200,MHK
2000-11-08,21.1875,21.1875,21.3125,21.1875,21.3125,111300,MHK
2000-11-09,20.6875,20.6875,21.3125,19.875,21.3125,140600,MHK
2000-11-10,20.5,20.5,20.9375,19.9375,20.8125,120000,MHK
2000-11-13,20.9375,20.9375,21.125,20.0,20.25,138100,MHK
2000-11-14,21.375,21.375,21.4375,20.9375,20.9375,172400,MHK
2000-11-15,21.25,21.25,21.3125,21.0625,21.25,103400,MHK
2000-11-16,21.625,21.625,22.375,21.375,21.375,198900,MHK
2000-11-17,21.9375,21.9375,22.0,21.75,21.8125,53900,MHK
2000-11-20,22.375,22.375,22.5625,21.5625,22.0625,207400,MHK
2000-11-21,22.3125,22.3125,22.4375,22.0625,22.1875,195100,MHK
2000-11-22,22.0625,22.0625,22.875,22.0,22.3125,147700,MHK
2000-11-24,22.25,22.25,22.25,22.0,22.0625,39600,MHK
2000-11-27,23.1875,23.1875,23.3125,22.25,22.25,93800,MHK
2000-11-28,22.9375,22.9375,23.375,22.875,23.0625,156200,MHK
2000-11-29,23.8125,23.8125,23.875,22.9375,22.9375,309300,MHK
2000-11-30,23.6875,23.6875,23.875,23.5,23.75,181400,MHK
2000-12-01,24.6875,24.6875,25.0,24.125,24.125,415300,MHK
2000-12-04,24.125,24.125,24.6875,24.0,24.625,105300,MHK
2000-12-05,25.1875,25.1875,25.1875,24.375,24.375,193700,MHK
2000-12-06,25.0,25.0,25.125,24.625,25.0625,114100,MHK
2000-12-07,25.1875,25.1875,25.5,24.9375,25.0625,258600,MHK
2000-12-08,25.6875,25.6875,26.0,25.1875,25.1875,258100,MHK
2000-12-11,26.0625,26.0625,26.25,25.375,25.6875,223500,MHK
2000-12-12,25.3125,25.3125,26.0625,25.25,25.8125,227200,MHK
2000-12-13,24.5,24.5,25.375,24.0625,25.1875,144700,MHK
2000-12-14,24.625,24.625,24.75,23.6875,24.6875,199100,MHK
2000-12-15,24.9375,24.9375,25.1875,24.375,24.375,213100,MHK
2000-12-18,24.9375,24.9375,25.0,24.8125,25.0,74800,MHK
2000-12-19,24.6875,24.6875,24.9375,24.5625,24.9375,215600,MHK
2000-12-20,24.0,24.0,24.75,24.0,24.75,197600,MHK
2000-12-21,24.25,24.25,24.75,24.0625,24.0625,775000,MHK
2000-12-22,25.3125,25.3125,25.375,24.3125,24.3125,322800,MHK
2000-12-26,25.1875,25.1875,26.1875,24.9375,25.6875,101200,MHK
2000-12-27,27.6875,27.6875,27.75,25.1875,25.1875,122600,MHK
2000-12-28,29.0,29.0,29.125,27.6875,27.6875,270500,MHK
2000-12-29,27.375,27.375,29.0,27.1875,29.0,244900,MHK
2001-01-02,27.25,27.25,27.9375,26.6875,27.4375,219900,MHK
2001-01-03,28.5,28.5,29.625,27.25,27.25,363400,MHK
2001-01-04,29.5625,29.5625,30.0,28.4375,28.4375,252700,MHK
