Date,Close,Adj Close,High,Low,Open,Volume,Ticker
2000-08-11,72.0,72.0,72.0,69.25,69.25,22000,NVR
2000-08-14,73.9375,73.9375,74.25,72.0,72.0,45000,NVR
2000-08-15,70.625,70.625,73.8125,70.625,73.8125,43600,NVR
2000-08-16,71.0,71.0,71.25,70.75,71.0,5000,NVR
2000-08-17,70.625,70.625,71.0,70.375,70.75,7400,NVR
2000-08-18,71.0,71.0,71.0,70.25,70.75,5400,NVR
2000-08-21,71.8125,71.8125,72.0,71.25,71.25,10800,NVR
2000-08-22,71.125,71.125,71.8125,71.125,71.8125,6600,NVR
2000-08-23,69.75,69.75,71.25,69.75,71.125,35800,NVR
2000-08-24,70.125,70.125,70.875,70.0,70.0,8900,NVR
2000-08-25,69.625,69.625,70.1875,69.625,70.1875,20100,NVR
2000-08-28,70.125,70.125,70.375,69.875,69.875,14200,NVR
2000-08-29,70.625,70.625,70.875,70.25,70.25,10200,NVR
2000-08-30,71.375,71.375,71.375,70.5,70.6875,14400,NVR
2000-08-31,73.5,73.5,73.5,71.25,71.25,20200,NVR
2000-09-01,72.0,72.0,74.0,71.5,73.875,16000,NVR
2000-09-05,72.25,72.25,72.625,71.9375,72.125,41300,NVR
2000-09-06,73.4375,73.4375,73.5,71.1875,72.0,17000,NVR
2000-09-07,75.3125,75.3125,75.4375,73.875,73.875,34100,NVR
2000-09-08,77.125,77.125,77.5625,75.5,75.5,35900,NVR
2000-09-11,78.25,78.25,78.75,77.25,77.375,11100,NVR
2000-09-12,78.75,78.75,79.125,78.5,78.5,10900,NVR
2000-09-13,78.875,78.875,79.75,78.5,78.5,13700,NVR
2000-09-14,78.25,78.25,79.125,78.0,79.125,15800,NVR
2000-09-15,78.3125,78.3125,79.0,78.0,78.0,29400,NVR
2000-09-18,77.5625,77.5625,78.40625,77.5,78.3125,35500,NVR
2000-09-19,77.5625,77.5625,77.5625,77.375,77.4375,9500,NVR
2000-09-20,79.8125,79.8125,79.875,77.5625,77.5625,14300,NVR
2000-09-21,79.6875,79.6875,79.875,79.6875,79.8125,24500,NVR
2000-09-22,78.75,78.75,79.3125,78.5,79.3125,29800,NVR
2000-09-25,79.1500015258789,79.1500015258789,79.19999694824219,78.25,78.30000305175781,17500,NVR
2000-09-26,79.0,79.0,79.6500015258789,78.94999694824219,78.94999694824219,14300,NVR
2000-09-27,79.25,79.25,79.62999725341797,79.02999877929688,79.02999877929688,26700,NVR
2000-09-28,80.75,80.75,80.75,79.0999984741211,79.0999984741211,16200,NVR
2000-09-29,81.0,81.0,81.25,80.19999694824219,81.25,21800,NVR
2000-10-02,81.52999877929688,81.52999877929688,82.1500015258789,81.25,81.25,30700,NVR
2000-10-03,81.44000244140625,81.44000244140625,82.0,81.44000244140625,81.75,18100,NVR
2000-10-04,79.5,79.5,81.4000015258789,79.5,81.19999694824219,18100,NVR
2000-10-05,79.0999984741211,79.0999984741211,79.5999984741211,78.5999984741211,79.5,12500,NVR
2000-10-06,76.5,76.5,81.0,76.5,79.5999984741211,42600,NVR
2000-10-09,76.0,76.0,76.5,75.94999694824219,76.0,22400,NVR
2000-10-10,78.08000183105469,78.08000183105469,78.1500015258789,76.0,76.25,52500,NVR
2000-10-11,79.80000305175781,79.80000305175781,80.0,78.19999694824219,78.25,23800,NVR
2000-10-12,79.41000366210938,79.41000366210938,80.0999984741211,79.05000305175781,80.0999984741211,22300,NVR
2000-10-13,79.26000213623047,79.26000213623047,79.94000244140625,79.25,79.41000366210938,21300,NVR
2000-10-16,80.0999984741211,80.0999984741211,80.25,79.5,79.5,20300,NVR
2000-10-17,80.12999725341797,80.12999725341797,80.5999984741211,80.11000061035156,80.5,17000,NVR
2000-10-18,79.51000213623047,79.51000213623047,80.12999725341797,79.5,80.12999725341797,7200,NVR
2000-10-19,80.55000305175781,80.55000305175781,80.55000305175781,79.0999984741211,79.27999877929688,11800,NVR
2000-10-20,82.4000015258789,82.4000015258789,82.80000305175781,80.75,81.0,20500,NVR
2000-10-23,83.5,83.5,83.5,82.6500015258789,82.6500015258789,30500,NVR
2000-10-24,85.0,85.0,85.0,83.5,83.5,27600,NVR
2000-10-25,87.20999908447266,87.20999908447266,87.5,86.0,86.0,63400,NVR
2000-10-26,88.93000030517578,88.93000030517578,88.93000030517578,87.5,88.0,26200,NVR
2000-10-27,95.25,95.25,95.5,89.0,89.0,36100,NVR
2000-10-30,99.91999816894531,99.91999816894531,106.0,96.5,96.5,39900,NVR
2000-10-31,103.4000015258789,103.4000015258789,103.4000015258789,94.5,99.91999816894531,53900,NVR
2000-11-01,100.58999633789062,100.58999633789062,103.4000015258789,99.5,103.4000015258789,38400,NVR
2000-11-02,100.83999633789062,100.83999633789062,102.5,99.62999725341797,101.5,30000,NVR
2000-11-03,102.97000122070312,102.97000122070312,103.0,100.12000274658203,100.83999633789062,47100,NVR
2000-11-06,103.25,103.25,113.19999694824219,101.0,104.94999694824219,66500,NVR
2000-11-07,104.7300033569336,104.7300033569336,105.0,102.4000015258789,103.5,27200,NVR
2000-11-08,103.26000213623047,103.26000213623047,106.19000244140625,103.26000213623047,103.7300033569336,26100,NVR
2000-11-09,102.0,102.0,102.26000213623047,97.0,102.26000213623047,29000,NVR
2000-11-10,96.18000030517578,96.18000030517578,102.0,95.5,102.0,22200,NVR
2000-11-13,96.5999984741211,96.5999984741211,97.98999786376953,93.5,96.18000030517578,25300,NVR
2000-11-14,102.0,102.0,102.0,97.05000305175781,98.0,25500,NVR
2000-11-15,100.44999694824219,100.44999694824219,100.98999786376953,99.5,99.75,21600,NVR
2000-11-16,94.44000244140625,94.44000244140625,108.30000305175781,94.0,100.97000122070312,29500,NVR
2000-11-17,96.5,96.5,101.83999633789062,95.0,95.44000244140625,37500,NVR
2000-11-20,91.25,91.25,97.0,90.75,97.0,27700,NVR
2000-11-21,87.45999908447266,87.45999908447266,91.97000122070312,86.80000305175781,91.18000030517578,35200,NVR
2000-11-22,81.75,81.75,88.47000122070312,81.6500015258789,87.69999694824219,39200,NVR
2000-11-24,86.5,86.5,87.0,82.20999908447266,82.20999908447266,36100,NVR
2000-11-27,90.08000183105469,90.08000183105469,91.5,86.75,86.75,38400,NVR
2000-11-28,89.19999694824219,89.19999694824219,90.3499984741211,88.94999694824219,90.33000183105469,36400,NVR
2000-11-29,93.30000305175781,93.30000305175781,93.30000305175781,89.19999694824219,89.19999694824219,25700,NVR
2000-11-30,91.0,91.0,94.5,89.51000213623047,93.30000305175781,61700,NVR
2000-12-01,92.37999725341797,92.37999725341797,93.25,90.5,90.5,36100,NVR
2000-12-04,92.1500015258789,92.1500015258789,92.98999786376953,91.80000305175781,92.0,33000,NVR
2000-12-05,103.9800033569336,103.9800033569336,103.98999786376953,92.12999725341797,92.1500015258789,65400,NVR
2000-12-06,98.0,98.0,103.25,98.0,103.0,20700,NVR
2000-12-07,101.0,101.0,102.0,98.0,98.0,23100,NVR
2000-12-08,107.75,107.75,108.48999786376953,101.0,101.0,93300,NVR
2000-12-11,109.6500015258789,109.6500015258789,109.98999786376953,107.75,109.0,106700,NVR
2000-12-12,99.5,99.5,109.94000244140625,99.5,109.6500015258789,60800,NVR
2000-12-13,106.4000015258789,106.4000015258789,107.0,100.5,100.5,35600,NVR
2000-12-14,102.27999877929688,102.27999877929688,106.5,102.2699966430664,106.5,19700,NVR
2000-12-15,103.75,103.75,105.0,102.27999877929688,102.27999877929688,26300,NVR
2000-12-18,108.98999786376953,108.98999786376953,109.98999786376953,104.5,104.75,81600,NVR
2000-12-19,106.05000305175781,106.05000305175781,109.94999694824219,105.75,108.98999786376953,32800,NVR
2000-12-20,101.19999694824219,101.19999694824219,106.75,101.19999694824219,106.5,23500,NVR
2000-12-21,105.45999908447266,105.45999908447266,106.19000244140625,101.25,101.25,30800,NVR
2000-12-22,107.0,107.0,107.69999694824219,105.6500015258789,105.6500015258789,28500,NVR
2000-12-26,113.05000305175781,113.05000305175781,114.56999969482422,107.25,107.25,86200,NVR
2000-12-27,122.4000015258789,122.4000015258789,125.75,112.5,113.19999694824219,101400,NVR
2000-12-28,124.5999984741211,124.5999984741211,126.0,120.5,123.5,47100,NVR
2000-12-29,123.5999984741211,123.5999984741211,128.74000549316406,118.9000015258789,124.8499984741211,82700,NVR
2001-01-02,116.5999984741211,116.5999984741211,124.08999633789062,112.75,123.5999984741211,131300,NVR
2001-01-03,119.5999984741211,119.5999984741211,122.5,113.3499984741211,115.5999984741211,82200,NVR
2001-01-04,121.0,121.0,123.0,119.0,119.5999984741211,98600,NVR
2001-01-05,124.5,124.5,124.5,119.12999725341797,121.0,101200,NVR
2001-01-08,132.97999572753906,132.97999572753906,137.5,129.5,129.5,233700,NVR
2001-01-09,131.5,131.5,137.0,130.5,135.0,113400,NVR
2001-01-10,127.75,127.75,132.0,126.5199966430664,131.5,78800,NVR
2001-01-11,125.0999984741211,125.0999984741211,129.0,124.75,126.0999984741211,60800,NVR
2001-01-12,127.5199966430664,127.5199966430664,129.25,124.5,125.0999984741211,136800,NVR
2001-01-16,125.0,125.0,129.25,125.0,126.5,126200,NVR
2001-01-17,127.75,127.75,130.0,125.25,125.25,72900,NVR
2001-01-18,127.75,127.75,129.0,127.01000213623047,127.98999786376953,47500,NVR
2001-01-19,118.5,118.5,127.5,117.0,127.25,109500,NVR
2001-01-22,109.4000015258789,109.4000015258789,118.25,103.0,118.25,122100,NVR
2001-01-23,114.25,114.25,115.0,103.5,108.0,143200,NVR
2001-01-24,115.33000183105469,115.33000183105469,116.25,113.0,114.25,51700,NVR
2001-01-25,115.80000305175781,115.80000305175781,118.5,114.5,114.5,60600,NVR
2001-01-26,114.0999984741211,114.0999984741211,115.5199966430664,113.0,115.5,36700,NVR
2001-01-29,113.75,113.75,115.0,113.0,113.5,66500,NVR
2001-01-30,113.8499984741211,113.8499984741211,114.5,111.75,113.75,28700,NVR
2001-01-31,115.0,115.0,119.5,114.5,114.5,55600,NVR
2001-02-01,118.0,118.0,119.75,115.05999755859375,115.25,40900,NVR
2001-02-02,114.37000274658203,114.37000274658203,119.5,114.0,118.5,65500,NVR
2001-02-05,123.0,123.0,124.5,111.5,113.5,140900,NVR
2001-02-06,133.39999389648438,133.39999389648438,134.89999389648438,123.0,123.0,218900,NVR
2001-02-07,133.50999450683594,133.50999450683594,134.25,131.75,132.75,85300,NVR
2001-02-08,131.5,131.5,134.94000244140625,129.75,133.10000610351562,90300,NVR
2001-02-09,129.39999389648438,129.39999389648438,131.25,127.5,131.0,83400,NVR
2001-02-12,139.0,139.0,139.0,128.44000244140625,128.5,101600,NVR
2001-02-13,138.25,138.25,143.0,138.25,139.5,71600,NVR
2001-02-14,144.0,144.0,145.0,137.25,138.25,72600,NVR
2001-02-15,147.75,147.75,149.02999877929688,144.0,144.0,97100,NVR
2001-02-16,142.60000610351562,142.60000610351562,147.6999969482422,142.39999389648438,147.0,71900,NVR
2001-02-20,138.6999969482422,138.6999969482422,143.8000030517578,138.5500030517578,143.5,77900,NVR
2001-02-21,137.25,137.25,142.0,136.0,137.5,95300,NVR
2001-02-22,135.0,135.0,138.0,133.0,137.25,60500,NVR
2001-02-23,135.75,135.75,135.75,130.0,134.0,86100,NVR
2001-02-26,144.75,144.75,147.1699981689453,136.0,136.0,120400,NVR
2001-02-27,145.75,145.75,149.24000549316406,143.1999969482422,144.75,84700,NVR
2001-02-28,147.25,147.25,148.5,144.0,145.5,58700,NVR
2001-03-01,147.0,147.0,147.5,143.25,145.5,73300,NVR
2001-03-02,152.92999267578125,152.92999267578125,154.6699981689453,145.25,147.25,108700,NVR
2001-03-05,155.5,155.5,157.0,153.5,157.0,119100,NVR
2001-03-06,163.4199981689453,163.4199981689453,163.4199981689453,157.0,157.0,127700,NVR
