Date,Close,Adj Close,High,Low,Open,Volume,Ticker
2000-08-11,70.6875,70.6875,70.6875,67.5625,67.5625,818600,WAT
2000-08-14,73.109375,73.109375,73.5625,70.875,71.1875,1012200,WAT
2000-08-15,71.75,71.75,73.0,70.71875,73.0,431200,WAT
2000-08-16,70.296875,70.296875,72.375,70.25,71.78125,501400,WAT
2000-08-17,71.6875,71.6875,73.53125,69.875,70.1875,847000,WAT
2000-08-18,71.15625,71.15625,72.4375,70.5,71.625,728000,WAT
2000-08-21,73.5,73.5,75.0,71.15625,71.25,1021000,WAT
2000-08-22,75.046875,75.046875,75.75,73.75,73.75,971600,WAT
2000-08-23,74.078125,74.078125,74.9375,72.5625,74.9375,844600,WAT
2000-08-24,75.25,75.25,75.40625,72.9375,74.0625,1097000,WAT
2000-08-25,78.4375,78.4375,79.21875,75.125,75.25,901800,WAT
2000-08-28,83.75,83.75,85.0,76.5,78.625,1004500,WAT
2000-08-29,79.15625,79.15625,83.625,79.15625,83.25,788200,WAT
2000-08-30,77.625,77.625,79.625,77.125,79.0,491200,WAT
2000-08-31,79.5625,79.5625,85.375,78.5,78.5,2187300,WAT
2000-09-01,81.0,81.0,84.3125,80.75,81.0,762700,WAT
2000-09-05,78.0,78.0,82.1875,77.5,81.4375,526800,WAT
2000-09-06,77.0,77.0,78.0,76.0,78.0,786200,WAT
2000-09-07,77.25,77.25,77.5,75.875,77.5,560600,WAT
2000-09-08,76.6875,76.6875,77.5625,76.125,77.0,405300,WAT
2000-09-11,77.0625,77.0625,77.625,75.8125,76.9375,482400,WAT
2000-09-12,72.625,72.625,78.5,71.625,77.1875,948600,WAT
2000-09-13,73.25,73.25,74.0,71.3125,72.5625,1131800,WAT
2000-09-14,75.625,75.625,77.5,74.0625,74.25,615400,WAT
2000-09-15,76.5,76.5,76.875,74.375,75.25,555200,WAT
2000-09-18,76.5,76.5,78.75,74.375,76.5,458000,WAT
2000-09-19,74.5,74.5,77.625,74.0,76.625,374100,WAT
2000-09-20,75.5,75.5,76.5,73.0625,74.75,598800,WAT
